long,short,spec,is.save,is.series,requires
automdl.autochoice,ach,automdl,FALSE,FALSE,
automdl.autochoicemdl,amd,automdl,FALSE,FALSE,
automdl.autodefaulttests,adt,automdl,FALSE,FALSE,
automdl.autofinaltests,aft,automdl,FALSE,FALSE,
automdl.autoljungboxtest,alb,automdl,FALSE,FALSE,
automdl.bestfivemdl,b5m,automdl,FALSE,FALSE,
automdl.header,hdr,automdl,FALSE,FALSE,
automdl.unitroottest,urt,automdl,FALSE,FALSE,
automdl.unitroottestmdl,urm,automdl,FALSE,FALSE,
check.acf,acf,check,TRUE,TRUE,
check.acfplot,acp,check,FALSE,FALSE,
check.acfsquared,ac2,check,TRUE,TRUE,
check.acfsquaredplot,ap2,check,FALSE,FALSE,
check.durbinwatson,dw,check,FALSE,FALSE,
check.friedmantest,frt,check,FALSE,FALSE,
check.histogram,hst,check,FALSE,FALSE,
check.normalitytest,nrm,check,FALSE,FALSE,
check.pacf,pcf,check,TRUE,TRUE,
check.pacfplot,pcp,check,FALSE,FALSE,
composite.adjcompositeplot,b1p,composite,TRUE,FALSE,
composite.adjcompositesrs,b1,composite,TRUE,TRUE,
composite.adjcompositesrsplot,b1p,composite,TRUE,TRUE,
composite.calendaradjcomposite,cac,composite,TRUE,TRUE,
composite.compositeplot,cmp,composite,FALSE,FALSE,
composite.compositesrs,cms,composite,TRUE,TRUE,
composite.header,hdr,composite,FALSE,FALSE,
composite.indadjsatot,iaa,composite,TRUE,TRUE,
composite.indadjustfac,iaf,composite,TRUE,TRUE,
composite.indadjustfacpct,ipf,composite,TRUE,TRUE,
composite.indadjustmentratio,i18,composite,TRUE,FALSE,
composite.indaoutlier,iao,composite,TRUE,TRUE,
composite.indcalendar,ica,composite,TRUE,TRUE,
composite.indcalendaradjchanges,ie8,composite,TRUE,FALSE,
composite.indcalendaradjchangespct,ip8,composite,TRUE,TRUE,
composite.indforcefactor,iff,composite,TRUE,FALSE,
composite.indftestd8,idf,composite,FALSE,FALSE,
composite.indirregular,iir,composite,TRUE,TRUE,
composite.indirregularpct,ipi,composite,TRUE,TRUE,
composite.indirregularplot,iip,composite,FALSE,FALSE,
composite.indlevelshift,ils,composite,TRUE,TRUE,
composite.indmcdmovavg,if1,composite,TRUE,TRUE,
composite.indmodirr,ie3,composite,TRUE,TRUE,
composite.indmodoriginal,ie1,composite,TRUE,TRUE,
composite.indmodsadj,ie2,composite,TRUE,TRUE,
composite.indqstat,if3,composite,FALSE,FALSE,
composite.indreplacsi,id9,composite,TRUE,TRUE,
composite.indresidualseasf,irf,composite,FALSE,TRUE,
composite.indrevsachanges,i6a,composite,TRUE,TRUE,
composite.indrevsachangespct,ipa,composite,TRUE,TRUE,
composite.indrndsachanges,i6r,composite,TRUE,TRUE,
composite.indrndsachangespct,ipr,composite,TRUE,TRUE,
composite.indrobustsa,iee,composite,TRUE,TRUE,
composite.indsachanges,ie6,composite,TRUE,TRUE,
composite.indsachangespct,ip6,composite,TRUE,TRUE,
composite.indsadjround,irn,composite,TRUE,TRUE,
composite.indseasadj,isa,composite,TRUE,TRUE,
composite.indseasadjplot,iap,composite,FALSE,FALSE,
composite.indseasonal,isf,composite,TRUE,TRUE,
composite.indseasonaldiff,isd,composite,TRUE,TRUE,
composite.indseasonalpct,ips,composite,TRUE,TRUE,
composite.indseasonalplot,isp,composite,FALSE,FALSE,
composite.indtest,itt,composite,FALSE,FALSE,
composite.indtotaladjustment,ita,composite,TRUE,TRUE,
composite.indtrend,itn,composite,TRUE,TRUE,
composite.indtrendchanges,ie7,composite,TRUE,TRUE,
composite.indtrendchangespct,ip7,composite,TRUE,TRUE,
composite.indtrendplot,itp,composite,FALSE,FALSE,
composite.indunmodsi,id8,composite,TRUE,TRUE,
composite.indx11diag,if2,composite,FALSE,FALSE,
composite.indyrtotals,ie4,composite,FALSE,FALSE,
composite.origchanges,ie5,composite,TRUE,TRUE,
composite.origchangespct,ip5,composite,TRUE,TRUE,
composite.origwindsaplot,ie0,composite,FALSE,FALSE,
composite.outlieradjcomposite,oac,composite,TRUE,TRUE,
composite.prioradjcomposite,ia3,composite,TRUE,TRUE,
composite.ratioplotindsa,ir2,composite,FALSE,TRUE,
composite.ratioplotorig,ir1,composite,FALSE,TRUE,
estimate.armacmatrix,acm,estimate,TRUE,TRUE,
estimate.averagefcsterr,afc,estimate,FALSE,FALSE,
estimate.estimates,est,estimate,TRUE,FALSE,
estimate.iterationerrors,ite,estimate,FALSE,FALSE,
estimate.iterations,itr,estimate,TRUE,TRUE,
