  *** Seats Build date :3-Jun-2005  ***
 x
  DATE           SERIES                  TRENDCYCLE              SASERIES                SEASONAL                CALENDAR                TRANS*IR                PREADJUST               E-RESID
 1-1949          112.000000              122.973179              122.713323              91.2696331              101.186868              99.7886889              101.186868            -0.686051630E-03
 2-1949          118.000000              124.314782              124.765651              94.5773131              99.1150442              100.362683              99.1150442             0.645116907E-02
 3-1949          132.000000              125.582813              125.073351              105.538070              98.6516509              99.5943219              98.6516509            -0.528684790E-02
 4-1949          129.000000              126.710717              127.528600              101.153781              100.919267              100.645473              100.919267             0.833287774E-02
 5-1949          121.000000              126.944612              127.358440              95.0074451              100.147594              100.325991              100.147594            -0.901118215E-02
 6-1949          135.000000              126.280049              126.172858              106.996070              99.4117969              99.9151164              99.4117969            -0.186478048E-01
 7-1949          148.000000              126.002661              125.145727              118.262128              101.186868              99.3199080              101.186868            -0.185593556E-01
 8-1949          148.000000              126.919740              126.702429              116.809126              99.1189941              99.8287807              99.1189941             0.238047272E-03
 9-1949          136.000000              128.328078              128.816942              105.576175              99.4117969              100.380949              99.4117969             0.629064358E-02
10-1949          119.000000              129.589845              129.112650              92.1675759              101.186868              99.6317653              101.186868            -0.584208646E-02
11-1949          104.000000              130.447978              131.640860              79.0028265              99.4117969              100.914450              99.4117969             0.758586503E-02
12-1949          118.000000              129.932346              130.416220              90.4795434              100.147594              100.372405              100.147594            -0.172108618E-01
 1-1950          115.000000              129.914362              126.965174              90.5760187              100.147594              97.7298988              100.147594            -0.347574387E-01
 2-1950          126.000000              132.041542              133.935572              94.0750827              99.1150442              101.434420              99.1150442             0.280694139E-01
 3-1950          141.000000              133.471161              134.014822              105.212243              98.6516509              100.407324              98.6516509             0.605641497E-03
 4-1950          135.000000              133.533649              132.936557              101.552202              101.966548              99.5528529              101.966548            -0.263010559E-01
 5-1950          125.000000              134.993618              133.280735              93.7869975              99.1189941              98.7311382              99.1189941            -0.293210983E-03
 6-1950          149.000000              138.576485              139.117842              107.103444              99.4117969              100.390656              99.4117969             0.470340028E-01
 7-1950          170.000000              142.315366              142.939911              118.931094              101.186868              100.438846              101.186868             0.371943867E-01
 8-1950          170.000000              145.126866              145.060362              117.192594              99.1189941              99.9541750              99.1189941             0.548608079E-02
 9-1950          158.000000              146.609592              148.484788              106.408207              100.443435              101.279040              100.443435             0.477936565E-02
10-1950          133.000000              146.368263              145.692377              91.2882356              100.147594              99.5382288              100.147594            -0.207813895E-01
11-1950          114.000000              147.599732              144.589130              78.8441014              99.4117969              97.9602926              99.4117969            -0.280359307E-01
